t,tf0,ts0
520392.6,872.6013,795.29297
522870.66,872.7781,847.7912
525348.72,872.92474,863.1105
527826.78,873.03766,868.6807
530304.84,873.1156,871.3571
532782.9,873.16046,872.1152
535260.96,873.17706,872.6403
537739.02,873.17126,873.17725
540217.08,873.1464,872.758
542695.14,873.1007,872.6933
545173.2,873.0327,872.8294
547651.26,872.9512,872.9083
550129.32,872.8761,872.9949
552607.38,872.8344,873.08606
555085.44,872.8615,873.1729
557563.5,872.9585,873.2372
560041.5599999999,872.92053,873.25024
562519.62,872.1178,872.9839
564997.6799999999,869.3412,870.26825
567475.74,862.7368,866.3765
569953.7999999999,850.55164,857.80927
572431.86,832.60425,836.53406
574909.9199999999,808.8436,820.24066
577387.98,779.1111,788.8756
579866.0399999999,738.2182,759.45825
582344.1,718.1716,739.1133
584822.16,733.4847,734.996
587300.22,732.13196,732.53815
589778.28,731.9844,730.9481
592256.34,730.81323,729.77625
594734.4,729.9684,728.82086
597212.46,729.78406,727.8785
599690.52,728.4948,725.96466
602168.58,724.27747,717.3086
